value,state,id
0.48,Alaska,02
0.5,Alabama,01
0.79,Arkansas,05
1.29,Arizona,04
9.3,California,06
3.07,Colorado,08
0.41,Connecticut,09
0.01,Delaware,10
5.27,Florida,12
3.11,Georgia,13
0.45,Hawaii,15
0.68,Iowa,19
0.25,Idaho,16
12.45,Illinois,17
0.94,Indiana,18
0.35,Kansas,20
1.08,Kentucky,21
1.24,Louisiana,22
3.06,Massachusetts,25
1.73,Maryland,24
0.16,Maine,23
2.45,Michigan,26
1.12,Minnesota,27
1.55,Missouri,29
0.33,Mississippi,28
0.15,Montana,30
2.5,North Carolina,37
0.4,North Dakota,38
0.4,Nebraska,31
0.17,New Hampshire,33
3.68,New Jersey,34
0.41,New Mexico,35
1.24,Nevada,32
8.8,New York,36
1.97,Ohio,39
0.72,Oklahoma,40
0.42,Oregon,41
1.92,Pennsylvania,42
0.3,Rhode Island,44
0.66,South Carolina,45
0.24,South Dakota,46
1.91,Tennessee,47
15.25,Texas,48
0.47,Utah,49
3.94,Virginia,51
0.1,Vermont,50
0.62,Washington,53
1.42,Wisconsin,55
0.07,West Virginia,54
0.17,Wyoming,56
