value,name,id
0.6183796439264702,Alaska,02
0.49633283892519764,Alabama,01
0.4280917994067446,Arkansas,05
3.090849943779763,Arizona,04
12.162972869074299,California,06
4.033885774707647,Colorado,08
0.3525128289201779,Connecticut,09
0.00171848500424208,Delaware,10
7.720345436107673,Florida,12
6.776673765728219,Georgia,13
1.6386613757950357,Hawaii,15
0.32350480204857157,Iowa,19
0.31852119553626956,Idaho,16
7.188268109094239,Illinois,17
0.7355975060658225,Indiana,18
0.20501526100608017,Kansas,20
0.6923947930591766,Kentucky,21
1.2244721200726094,Louisiana,22
2.054534746821619,Massachusetts,25
1.61711157384184,Maryland,24
0.09539310258547787,Maine,23
2.567846217588728,Michigan,26
2.233085338762371,Minnesota,27
1.7600551564946962,Missouri,29
0.2456058768062781,Mississippi,28
0.2772603705844172,Montana,30
2.7649392627252527,North Carolina,37
0.31121763426824073,North Dakota,38
0.37581548557770056,Nebraska,31
0.11804273494138849,New Hampshire,33
2.033328641869272,New Jersey,34
0.4175059317806134,New Mexico,35
2.76002439561312,Nevada,32
4.610231275430356,New York,36
1.3964065447470297,Ohio,39
0.5933756871147479,Oklahoma,40
1.0478806010366932,Oregon,41
1.8747468456778125,Pennsylvania,42
0.2088990371156673,Rhode Island,44
0.5347925333201353,South Carolina,45
0.172175012575014,South Dakota,46
1.4202419317558672,Tennessee,47
11.822248847283221,Texas,48
1.8729939909734858,Utah,49
2.603968772377897,Virginia,51
0.05715681124109159,Vermont,50
2.3195079496257054,Washington,53
0.9634858024783647,Wisconsin,55
0.04483527376067587,West Virginia,54
0.15024714392088506,Wyoming,56
